Time,Actuator
9902,F46
9912,F11
9922,F47
9932,F12
9942,F48
9952,F13
9962,F49
9972,F14
9982,F50
9992,F15
10002,F51
10012,F16
10022,F52
10032,F17
10042,F53
10052,F18
10062,F54
10072,F19
10082,F55
10092,F20
10102,F56
10112,F21
10122,F57
10132,F22
10142,F58
10152,F23
10162,F59
10172,F8
10177,OUTW8:0
10178,C24
10193,C8
10203,F37
10213,F73
10223,F38
10233,F74
10243,F39
10253,F75
10263,F40
10273,F76
10283,F41
10293,F77
10303,F42
10313,F78
10323,F43
10333,F79
10343,F44
10353,F80
10363,F45
10373,F46
10383,F82
10393,F47
10403,F83
10413,F48
10423,F84
10433,F49
10443,F85
10453,F50
10463,F86
10473,F51
10483,F87
10493,F52
10503,F88
10513,F53
10523,F89
10533,F54
10543,F90
10553,F55
10563,F91
10573,F56
10583,F92
10593,F57
10603,F93
10613,F58
10623,F94
10633,F59
10643,F95
10653,F44
10658,OUTW44:0
10659,C60
10674,C44
10684,F1
10694,F73
10704,F2
10714,F74
10724,F3
10734,F75
10744,F4
10754,F76
10764,F5
10774,F77
10784,F6
10794,F78
10804,F7
10814,F79
10824,F8
10834,F80
10844,F9
10854,F10
10864,F82
10874,F11
10884,F83
10894,F12
10904,F84
10914,F13
10924,F85
10934,F14
10944,F86
10954,F15
10964,F87
10974,F16
10984,F88
10994,F17
11004,F89
11014,F18
11024,F90
11034,F19
11044,F91
11054,F20
11064,F92
11074,F21
11084,F93
11094,F22
11104,F94
11114,F23
11124,F95
11134,F80
11139,OUTW80:0
11140,C96
11155,C80
11165,F1
11175,F37
11185,F2
11195,F38
11205,F3
11215,F39
11225,F4
11235,F40
11245,F5
11255,F41
11265,F6
11275,F42
11285,F7
11295,F43
11305,F8
11315,F44
11325,F9
11335,F45
11345,F10
11355,F46
11365,F11
11375,F47
11385,F12
11395,F48
11405,F13
11415,F49
11425,F14
11435,F50
11445,F15
11455,F51
11465,F16
11475,F52
11485,F17
11495,F53
11505,F18
11515,F54
11525,F19
11535,F55
11545,F20
11555,F56
11565,F21
11575,F57
11585,F22
11595,F58
11605,F23
11615,F59
11625,F9
11630,OUTW9:0
11631,C24
11646,C9
11656,F37
11666,F73
11676,F38
11686,F74
11696,F39
11706,F75
11716,F40
11726,F76
11736,F41
11746,F77
11756,F42
11766,F78
11776,F43
11786,F79
11796,F44
11806,F80
11816,F45
11826,F46
11836,F82
11846,F47
11856,F83
11866,F48
11876,F84
11886,F49
11896,F85
11906,F50
11916,F86
11926,F51
11936,F87
11946,F52
11956,F88
11966,F53
11976,F89
11986,F54
11996,F90
12006,F55
12016,F91
12026,F56
12036,F92
12046,F57
12056,F93
12066,F58
12076,F94
12086,F59
12096,F95
12106,F45
12111,OUTW45:0
12112,C60
12127,C45
12137,F1
12147,F73
12157,F2
12167,F74
12177,F3
12187,F75
12197,F4
12207,F76
12217,F5
12227,F77
12237,F6
12247,F78
12257,F7
12267,F79
12277,F8
12287,F80
12297,F9
12307,F10
12317,F82
12327,F11
12337,F83
12347,F12
12357,F84
12367,F13
12377,F85
12387,F14
12397,F86
12407,F15
12417,F87
12427,F16
12437,F88
12447,F17
12457,F89
12467,F18
12477,F90
12487,F19
12497,F91
12507,F20
12517,F92
12527,F21
12537,F93
12547,F22
12557,F94
12567,F23
12577,F95
12587,F10
12592,OUTW10:0
12593,C24
12608,C10
12618,F37
12628,F73
12638,F38
12648,F74
12658,F39
12668,F75
12678,F40
12688,F76
12698,F41
12708,F77
12718,F42
12728,F78
12738,F43
12748,F79
12758,F44
12768,F80
12778,F45
12788,F46
12798,F82
12808,F47
12818,F83
12828,F48
12838,F84
12848,F49
12858,F85
12868,F50
12878,F86
12888,F51
12898,F87
12908,F52
12918,F88
12928,F53
12938,F89
12948,F54
12958,F90
12968,F55
12978,F91
12988,F56
12998,F92
13008,F57
13018,F93
13028,F58
13038,F94
13048,F59
13058,F95
13068,F46
13073,OUTW46:0
13074,C60
13089,C46
13099,F1
13109,F73
13119,F2
13129,F74
13139,F3
13149,F75
13159,F4
13169,F76
13179,F5
13189,F77
13199,F6
13209,F78
13219,F7
13229,F79
13239,F8
13249,F80
13259,F9
13269,F10
13279,F82
13289,F11
13299,F83
13309,F12
13319,F84
13329,F13
13339,F85
13349,F14
13359,F86
13369,F15
13379,F87
13389,F16
13399,F88
13409,F17
13419,F89
13429,F18
13439,F90
13449,F19
13459,F91
13469,F20
13479,F92
13489,F21
13499,F93
13509,F22
13519,F94
13529,F23
13539,F95
13549,F82
13554,OUTW82:0
13555,C96
13570,C82
13580,F1
13590,F37
13600,F2
13610,F38
13620,F3
13630,F39
13640,F4
13650,F40
13660,F5
13670,F41
13680,F6
13690,F42
13700,F7
13710,F43
13720,F8
13730,F44
13740,F9
13750,F45
13760,F10
13770,F46
13780,F11
13790,F47
13800,F12
13810,F48
13820,F13
13830,F49
13840,F14
13850,F50
13860,F15
13870,F51
13880,F16
13890,F52
13900,F17
13910,F53
13920,F18
13930,F54
13940,F19
13950,F55
13960,F20
13970,F56
13980,F21
13990,F57
14000,F22
14010,F58
14020,F23
14030,F59
14040,F11
14045,OUTW11:0
14046,C24
14061,C11
14071,F37
14081,F73
14091,F38
14101,F74
14111,F39
14121,F75
14131,F40
14141,F76
14151,F41
14161,F77
14171,F42
14181,F78
14191,F43
14201,F79
14211,F44
14221,F80
14231,F45
14241,F46
14251,F82
14261,F47
14271,F83
14281,F48
14291,F84
14301,F49
14311,F85
14321,F50
14331,F86
14341,F51
14351,F87
14361,F52
14371,F88
14381,F53
14391,F89
14401,F54
14411,F90
14421,F55
14431,F91
14441,F56
14451,F92
14461,F57
14471,F93
14481,F58
14491,F94
14501,F59
14511,F95
14521,F47
14526,OUTW47:0
14527,C60
14542,C47
14552,F1
14562,F73
14572,F2
14582,F74
14592,F3
14602,F75
14612,F4
14622,F76
14632,F5
14642,F77
14652,F6
14662,F78
14672,F7
14682,F79
14692,F8
14702,F80
14712,F9
14722,F10
14732,F82
14742,F11
14752,F83
14762,F12
14772,F84
14782,F13
14792,F85
14802,F14
14812,F86
14822,F15
14832,F87
14842,F16
14852,F88
14862,F17
14872,F89
14882,F18
14892,F90
14902,F19
14912,F91
14922,F20
14932,F92
14942,F21
14952,F93
14962,F22
14972,F94
14982,F23
14992,F95
15002,F83
15007,OUTW83:0
15008,C96
15023,C83
15033,F1
15043,F37
15053,F2
15063,F38
15073,F3
15083,F39
15093,F4
15103,F40
15113,F5
15123,F41
15133,F6
15143,F42
15153,F7
15163,F43
15173,F8
15183,F44
15193,F9
15203,F45
15213,F10
15223,F46
15233,F11
15243,F47
15253,F12
15263,F48
15273,F13
15283,F49
15293,F14
15303,F50
15313,F15
15323,F51
15333,F16
15343,F52
15353,F17
15363,F53
15373,F18
15383,F54
15393,F19
15403,F55
15413,F20
15423,F56
15433,F21
15443,F57
15453,F22
15463,F58
15473,F23
15483,F59
15493,F12
15498,OUTW12:0
15499,C24
15514,C12
15524,F37
15534,F73
15544,F38
15554,F74
15564,F39
15574,F75
15584,F40
15594,F76
15604,F41
15614,F77
15624,F42
15634,F78
15644,F43
15654,F79
15664,F44
15674,F80
15684,F45
15694,F46
15704,F82
15714,F47
15724,F83
15734,F48
15744,F84
15754,F49
15764,F85
15774,F50
15784,F86
15794,F51
15804,F87
15814,F52
15824,F88
15834,F53
15844,F89
15854,F54
15864,F90
15874,F55
15884,F91
15894,F56
15904,F92
15914,F57
15924,F93
15934,F58
15944,F94
15954,F59
15964,F95
15974,F48
15979,OUTW48:0
15980,C60
15995,C48
16005,F1
16015,F73
16025,F2
16035,F74
16045,F3
16055,F75
16065,F4
16075,F76
16085,F5
16095,F77
16105,F6
16115,F78
16125,F7
16135,F79
16145,F8
16155,F80
16165,F9
16175,F10
16185,F82
16195,F11
16205,F83
16215,F12
16225,F84
16235,F13
16245,F85
16255,F14
16265,F86
16275,F15
16285,F87
16295,F16
16305,F88
16315,F17
16325,F89
16335,F18
16345,F90
16355,F19
16365,F91
16375,F20
16385,F92
16395,F21
16405,F93
16415,F22
16425,F94
16435,F23
16445,F95
16455,F84
16460,OUTW84:0
16461,C96
16476,C84
16486,F1
16496,F37
16506,F2
16516,F38
16526,F3
16536,F39
16546,F4
16556,F40
16566,F5
16576,F41
16586,F6
16596,F42
16606,F7
16616,F43
16626,F8
16636,F44
16646,F9
16656,F45
16666,F10
16676,F46
16686,F11
16696,F47
16706,F12
16716,F48
16726,F13
16736,F49
16746,F14
16756,F50
16766,F15
16776,F51
16786,F16
16796,F52
16806,F17
16816,F53
16826,F18
16836,F54
16846,F19
16856,F55
16866,F20
16876,F56
16886,F21
16896,F57
16906,F22
16916,F58
16926,F23
16936,F59
16946,F13
16951,OUTW13:0
16952,C24
16967,C13
16977,F37
16987,F73
16997,F38
17007,F74
17017,F39
17027,F75
17037,F40
17047,F76
17057,F41
17067,F77
17077,F42
17087,F78
17097,F43
17107,F79
17117,F44
17127,F80
17137,F45
17147,F46
17157,F82
17167,F47
17177,F83
17187,F48
17197,F84
17207,F49
17217,F85
17227,F50
17237,F86
17247,F51
17257,F87
17267,F52
17277,F88
17287,F53
17297,F89
17307,F54
17317,F90
17327,F55
17337,F91
17347,F56
17357,F92
17367,F57
17377,F93
17387,F58
17397,F94
17407,F59
17417,F95
17427,F49
17432,OUTW49:0
17433,C60
17448,C49
17458,F1
17468,F73
17478,F2
17488,F74
17498,F3
17508,F75
17518,F4
17528,F76
17538,F5
17548,F77
17558,F6
17568,F78
17578,F7
17588,F79
17598,F8
17608,F80
17618,F9
17628,F10
17638,F82
17648,F11
17658,F83
17668,F12
17678,F84
17688,F13
17698,F85
17708,F14
17718,F86
17728,F15
17738,F87
17748,F16
17758,F88
17768,F17
17778,F89
17788,F18
17798,F90
17808,F19
17818,F91
17828,F20
17838,F92
17848,F21
17858,F93
17868,F22
17878,F94
17888,F23
17898,F95
17908,F85
17913,OUTW85:0
17914,C96
17929,C85
17939,F1
17949,F37
17959,F2
17969,F38
17979,F3
17989,F39
17999,F4
18009,F40
18019,F5
18029,F41
18039,F6
18049,F42
18059,F7
18069,F43
18079,F8
18089,F44
18099,F9
18109,F45
18119,F10
18129,F46
18139,F11
18149,F47
18159,F12
18169,F48
18179,F13
18189,F49
18199,F14
18209,F50
18219,F15
18229,F51
